Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F104304,Karnataka,Kodagu,Somwarpet,  4 ,"  5,115 ","  1,571 ",PHYSICAL
Apr-18,F164611,Telangana,Hyderabad,Hyd,  4 ,  -   ,  -   ,PHYSICAL
Apr-18,F104517,Karnataka,Mandya,Mandya,  4 ,"  98,730 ","  2,224 ",PHYSICAL
Apr-18,F104832,Karnataka,Bangalore,Bangalore South,  3 ,"  31,881 ",  400 ,PHYSICAL
Apr-18,F104490,Tamil Nadu,Erode,Erode,  1 ,"  10,430 ",  600 ,PHYSICAL
Apr-18,F104678,Karnataka,Bangalore Rural,Doddaballapura,  1 ,"  10,435 ",  -   ,PHYSICAL
Apr-18,F104271,Tamil Nadu,Erode,Erode,  18 ,"  76,048 ",  400 ,PHYSICAL
Apr-18,F103340,Andhra Pradesh,Ananthapur,Gooty,  15 ,"  47,602 ","  1,291 ",PHYSICAL
Apr-18,F103717,Tamil Nadu,Sivaganga,Tirupattur,  11 ,"  86,559 ","  4,046 ",PHYSICAL
Apr-18,F103406,Karnataka,Kolar,Srinivasapura,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F161012,Andhra Pradesh,Chittoor,Chandragiri,  2 ,"  24,199 ",  -   ,PHYSICAL
Apr-18,F103400,Karnataka,Kolar,Malur,  14 ,"  240,727 ","  5,734 ",PHYSICAL
Apr-18,F103386,Karnataka,Kolar,Bangarapet,  6 ,"  99,036 ","  3,799 ",PHYSICAL
Apr-18,F165558,Andhra Pradesh,Cuddapah,Cuddapah,  6 ,"  49,079 ",  -   ,PHYSICAL
Apr-18,F104247,Andhra Pradesh,Ananthapur,Rayadurg,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103451,Andhra Pradesh,Prakasam,Kandukur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103624,Karnataka,Mysore,Mysore,  2 ,"  13,478 ",  400 ,PHYSICAL
Apr-18,F103720,Karnataka,Hassan,Alur,  7 ,"  177,558 ",  800 ,PHYSICAL
Apr-18,F104241,Tamil Nadu,Thanjavur,Kumbakonam,  1 ,"  43,522 ",  400 ,PHYSICAL
Apr-18,F104035,Telangana,Warangal,Maripeda,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104041,Andhra Pradesh,Nellore,Tada,  11 ,"  112,893 ","  2,203 ",PHYSICAL
Apr-18,F103425,Karnataka,Chitradurga,Chitradurga,  3 ,"  3,507 ",  -   ,PHYSICAL
Apr-18,F161021,Telangana,Medak,Medak,  3 ,  -   ,  -   ,PHYSICAL
Apr-18,F104339,Telangana,Mahabub Nagar,Mahbubnagar,  1 ,"  1,937 ",  -   ,PHYSICAL
Apr-18,F103968,Telangana,Nalgonda,Nalgonda,  11 ,"  71,803 ",  400 ,PHYSICAL
Apr-18,F104717,Kerala,Malappuram,Ernad,  1 ,"  11,057 ",  -   ,PHYSICAL
Apr-18,F103886,Andhra Pradesh,Chittoor,Kanipakam,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104481,Karnataka,Mysore,Periyapatna,  1 ,"  4,169 ",  -   ,PHYSICAL
Apr-18,F103924,Telangana,Nizamabad,Banswada,  2 ,"  5,169 ",  -   ,PHYSICAL
Apr-18,F104561,Karnataka,Chikkaballapur,Gauribidanur,  2 ,"  46,348 ",  -   ,PHYSICAL
Apr-18,F103339,Andhra Pradesh,Ananthapur,Dharmavaram,  24 ,"  247,544 ","  12,179 ",PHYSICAL
Apr-18,F103647,Andhra Pradesh,East Godavari,Kakinada (Urban),  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104746,Karnataka,Chikkaballapur,Sidlghatta,  3 ,"  39,448 ","  1,681 ",PHYSICAL
Apr-18,F104128,Telangana,Mahabub Nagar,Baswaipalli,  1 ,"  17,284 ",  -   ,PHYSICAL
Apr-18,F103892,Telangana,Warangal,Narsampet,  1 ,"  115,627 ",  750 ,PHYSICAL
Apr-18,F103231,Karnataka,Tumkur,Chikkanayakanahlli,  19 ,"  327,082 ","  14,583 ",PHYSICAL
Apr-18,F104291,Telangana,Mahabub Nagar,Anugonda,  -   ,  -   ,"  1,238 ",PHYSICAL
Apr-18,F103377,Karnataka,Kolar,Bangarapet,  30 ,"  662,404 ","  30,974 ",PHYSICAL
Apr-18,F103512,Karnataka,Bijapur(KAR),Bijapur,  3 ,"  2,943 ","  3,389 ",PHYSICAL
Apr-18,F104109,Andhra Pradesh,Nellore,Venkatachalam,  1 ,"  2,016 ",  -   ,PHYSICAL
Apr-18,F103791,Karnataka,Ramanagar,Magadi,  4 ,"  2,774 ","  3,435 ",PHYSICAL
Apr-18,F103788,Karnataka,Kolar,Bangarapet,  6 ,"  100,585 ","  3,123 ",PHYSICAL
Apr-18,F104840,Karnataka,Bangalore,Anekal,  3 ,"  32,599 ",  -   ,PHYSICAL
Apr-18,F103373,Karnataka,Tumkur,Tumkur,  2 ,"  7,824 ",  -   ,PHYSICAL
Apr-18,F103428,Karnataka,Tumkur,Kunigal,  4 ,"  26,875 ","  3,317 ",PHYSICAL
Apr-18,F103453,Karnataka,Chamrajnagar,Yelandur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103563,Tamil Nadu,Coimbatore,Coimbatore North,  1 ,"  7,045 ",  -   ,PHYSICAL
Apr-18,F104574,Karnataka,Kolar,Gauribidanur,  -   ,  -   ,  -   ,PHYSICAL
