Month,FID,RMF PNH ID,RMF Name,State,District,Town, RF'S  , Total value , Earned Margin ,, RF'S  , Total value , Earned Margin ,,RF's,Earned Margin
Apr-18,F104842,33265733,Sri Vari Traders,Tamil Nadu,Cuddalore,Cuddalore,2,258156,  -   ,,7,104594,  -   ,,  -   ,  -   
Apr-18,F104837,38678945,Mobile Point,Tamil Nadu,Kanchipuram,Tirukalikundram,1,  -   ,  -   ,,7,216718,  -   ,,  -   ,  -   
Apr-18,F167079,35868607,Maa computer center,Madhya Pradesh,Morena,Ambah,  -   ,  -   ,  -   ,,1,987,2,,  -   ,  -   
Apr-18,F104538,36388463,R.V.S.Future Tech (RMF),Tamil Nadu,Coimbatore,Coimbatore South,5,136683,1600,,4,727902,2052,,  -   ,  -   
Apr-18,F103960,33538453,Khan Agency,Madhya Pradesh,Dewas,Dewas,3,32786,  -   ,,8,3321211,7476,,  -   ,  -   
Apr-18,F104847,34286336,Lucky Recharge Centre,Maharashtra,Akola,Akola,3,31516,  -   ,,10,4534190,9941,,  -   ,  -   
Apr-18,F166168,34043443,Jagdamba sels and service,Madhya Pradesh,Bhopal,Bhopal,1,750,  -   ,,5,29513,20,,  -   ,  -   
Apr-18,F103983,31989984,M M Marketing,Madhya Pradesh,Indore,Sanwer,  -   ,  -   ,  -   ,,8,230975,331,,  -   ,  -   
Apr-18,F166986,35507173,Shri Balaji Treadrs,Madhya Pradesh,Neemuch,Neemuch,1,10505,  -   ,,3,4766406,9833,,  -   ,  -   
Apr-18,F101017,37789913,Shree Communications,Gujarat,Kheda,Nadiad,  -   ,  -   ,  -   ,,1,82942,158,,  -   ,  -   
Apr-18,F166353,32762171,Om kisok Center,Madhya Pradesh,Morena,Morena,1,10216,  -   ,,1,2350364,4981,,  -   ,  -   
Apr-18,F166163,36205515,VAIBHAV ENTERPRISES,Madhya Pradesh,Bhopal,Huzur,1,10615,  -   ,,2,1397703,3091,,  -   ,  -   
Apr-18,F101034,36533255,Shree Nathji Traders (RMF),Gujarat,Ahmedabad,Ahmadabad City,  -   ,  -   ,  -   ,,6,149243,244,,  -   ,  -   
Apr-18,F104101,33845166,Maa jagdamba mobile center,Madhya Pradesh,Bhopal,Bhopal,  -   ,  -   ,  -   ,,2,32162,54,,  -   ,  -   
Apr-18,F166382,36469435,Raghuwanshi photo copy,Madhya Pradesh,Guna,Guna,1,15725,  -   ,,2,6210497,12721,,  -   ,  -   
Apr-18,F103382,38854422,Sudeeksha Enterprises,Karnataka,Chikkaballapur,Chickballapur,1,  -   ,  -   ,,3,20239,  -   ,,  -   ,  -   
Apr-18,F103887,31273728,M H Enterprises,Madhya Pradesh,Indore,Indore,  -   ,  -   ,  -   ,,13,23973,  -   ,,  -   ,  -   
Apr-18,F104629,34292671,Gourav Enterprises (RMF),Madhya Pradesh,Jhabua,Jhabua,  -   ,  -   ,  -   ,,2,3579,  -   ,,  -   ,  -   
Apr-18,F104462,36862896,Rachana Gift Center,Madhya Pradesh,Hoshangabad,Garhaghat,  -   ,  -   ,  -   ,,11,59396,38,,  -   ,  -   
Apr-18,F166326,38184811,Anil enterprises,Madhya Pradesh,Hoshangabad,Hoshangabad,1,10640,  -   ,,1,440010,1180,,  -   ,  -   
Apr-18,F103068,36917699,Demo Login,Karnataka,Bangalore,Bangalore South,  -   ,  -   ,  -   ,,1,8648,14,,  -   ,  -   
Apr-18,F167148,30125113,Dk online service,Madhya Pradesh,Morena,Morena,  -   ,  -   ,  -   ,,1,2750,6,,  -   ,  -   
Apr-18,F104857,34536747,Viraj Enterprises,Madhya Pradesh,Ratlam,Jaora,1,10578,  -   ,,1,3847472,7993,,  -   ,  -   
Apr-18,F104865,36955689,Vijay Kuamar Singhal,Madhya Pradesh,Shivpuri,Kolaras,1,10440,  -   ,,2,1404950,3110,,  -   ,  -   
Apr-18,F166371,38201177,Dipu Telecom,Gujarat,Valsad,Umbergaon,1,10184,  -   ,,3,5771923,11807,,  -   ,  -   
Apr-18,F104587,37427349,Goyal Marketing,Madhya Pradesh,Guna,Guna,  -   ,  -   ,  -   ,,26,57829,95,,  -   ,  -   
Apr-18,F104817,36943923,Maa Durga Mobile Shoppee,Maharashtra,Yavatmal,Kalamb,  -   ,  -   ,  -   ,,8,19257,2,,  -   ,  -   
Apr-18,F167049,37691071,Sunita Sharma,Madhya Pradesh,Ujjain,Khachraud,  -   ,  -   ,  -   ,,1,27000,54,,  -   ,  -   
Apr-18,F104715,37725463,Royall Technology (RMF),Maharashtra,Amravati,Amravati,  -   ,  -   ,  -   ,,1,2265,  -   ,,  -   ,  -   
Apr-18,F103824,31954179,Ajay Engineering Works,Maharashtra,Thane,Thane,  -   ,  -   ,  -   ,,2,12391,11,,  -   ,  -   
Apr-18,F104833,38165177,K.P.M Agencies,Pondicherry,Pondicherry,Pondicherry,  -   ,  -   ,  -   ,,1,4100,  -   ,,  -   ,  -   
Apr-18,F104270,38159416,Gandhi Agency,Madhya Pradesh,Dhar,Dhamnod,  -   ,  -   ,  -   ,,1,12828,  -   ,,  -   ,  -   
Apr-18,F166126,38217910,SR ONLINE,Maharashtra,Yavatmal,Yavatmal,  -   ,  -   ,  -   ,,1,198389,396,,  -   ,  -   
Apr-18,F104805,37353257,Sourcemax Fashions,Tamil Nadu,Coimbatore,Tirupur,1,  -   ,  -   ,,1,8700,  -   ,,  -   ,  -   
Apr-18,F104394,31492337,Kaushal Telecom,Madhya Pradesh,Ujjain,Ujjain,1,749,  -   ,,4,171491,332,,  -   ,  -   
